"Plot Title: Clam-Bay-Beach"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137186, SEN S/N: 20137186)","Intensity, lum/ft² (LGR S/N: 20137186, SEN S/N: 20137186)","Host Connected (LGR S/N: 20137186)","Coupler Attached (LGR S/N: 20137186)","Stopped (LGR S/N: 20137186)","End Of File (LGR S/N: 20137186)"
203,06/12/18 01:00:00 AM,12.207,0.0,,,,
204,06/12/18 01:30:00 AM,12.013,0.0,,,,
205,06/12/18 02:00:00 AM,11.916,0.0,,,,
206,06/12/18 02:30:00 AM,11.916,0.0,,,,
207,06/12/18 03:00:00 AM,11.819,0.0,,,,
208,06/12/18 03:30:00 AM,11.722,0.0,,,,
209,06/12/18 04:00:00 AM,11.625,0.0,,,,
210,06/12/18 04:30:00 AM,11.625,0.0,,,,
211,06/12/18 05:00:00 AM,11.625,0.0,,,,
212,06/12/18 05:30:00 AM,11.528,0.0,,,,
213,06/12/18 06:00:00 AM,11.431,0.0,,,,
214,06/12/18 06:30:00 AM,11.431,0.0,,,,
215,06/12/18 07:00:00 AM,11.528,0.0,,,,
216,06/12/18 07:30:00 AM,11.528,1.0,,,,
217,06/12/18 08:00:00 AM,11.625,1.0,,,,
218,06/12/18 08:30:00 AM,11.722,1.0,,,,
219,06/12/18 09:00:00 AM,11.819,2.0,,,,
220,06/12/18 09:30:00 AM,11.916,2.0,,,,
221,06/12/18 10:00:00 AM,12.110,3.0,,,,
222,06/12/18 10:30:00 AM,12.207,2.0,,,,
223,06/12/18 11:00:00 AM,12.304,2.0,,,,
224,06/12/18 11:30:00 AM,12.497,2.0,,,,
225,06/12/18 12:00:00 PM,12.690,1.0,,,,
226,06/12/18 12:30:00 PM,12.883,1.0,,,,
227,06/12/18 01:00:00 PM,12.980,0.0,,,,
228,06/12/18 01:30:00 PM,13.076,0.0,,,,
229,06/12/18 02:00:00 PM,13.076,0.0,,,,
230,06/12/18 02:30:00 PM,13.076,1.0,,,,
231,06/12/18 03:00:00 PM,13.076,0.0,,,,
232,06/12/18 03:30:00 PM,13.076,1.0,,,,
233,06/12/18 04:00:00 PM,12.980,0.0,,,,
234,06/12/18 04:30:00 PM,12.980,0.0,,,,
235,06/12/18 05:00:00 PM,12.883,0.0,,,,
236,06/12/18 05:30:00 PM,12.787,0.0,,,,
237,06/12/18 06:00:00 PM,12.690,0.0,,,,
238,06/12/18 06:30:00 PM,12.594,0.0,,,,
239,06/12/18 07:00:00 PM,12.497,0.0,,,,
